,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
73,ROOFTOP,"148 W 72nd St, New York, NY 10023, USA",ChIJQRMyT4pYwokRvIgoMXS9iiY,"148 WEST   72 STREET MANHATTAN, NY 10023",40.7778997,-73.9806673,1,10023,OK,premise
74,ROOFTOP,"148 W 72nd St, New York, NY 10023, USA",ChIJQRMyT4pYwokRvIgoMXS9iiY,"148 WEST   72 STREET MANHATTAN, NY 10023",40.7778997,-73.9806673,1,10023,OK,premise
75,ROOFTOP,"364 W 110th St, New York, NY 10025, USA",ChIJBXPDSj32wokRMlWcUSe2caU,"364 WEST  110 STREET MANHATTAN, NY 10025",40.8014307,-73.96084119999999,1,10025,OK,street_address
76,ROOFTOP,"364 W 110th St, New York, NY 10025, USA",ChIJBXPDSj32wokRMlWcUSe2caU,"364 WEST  110 STREET MANHATTAN, NY 10025",40.8014307,-73.96084119999999,1,10025,OK,street_address
77,ROOFTOP,"364 W 110th St, New York, NY 10025, USA",ChIJBXPDSj32wokRMlWcUSe2caU,"364 WEST  110 STREET MANHATTAN, NY 10025",40.8014307,-73.96084119999999,1,10025,OK,street_address
78,ROOFTOP,"1423 Avenue J, Brooklyn, NY 11230, USA",ChIJP_eWT8hEwokReMl-cxOl8i0,"1423 AVENUE J BROOKLYN, NY 11230",40.6253268,-73.9615132,1,11230,OK,street_address
79,ROOFTOP,"1423 Avenue J, Brooklyn, NY 11230, USA",ChIJP_eWT8hEwokReMl-cxOl8i0,"1423 AVENUE J BROOKLYN, NY 11230",40.6253268,-73.9615132,1,11230,OK,street_address
80,ROOFTOP,"1423 Avenue J, Brooklyn, NY 11230, USA",ChIJP_eWT8hEwokReMl-cxOl8i0,"1423 AVENUE J BROOKLYN, NY 11230",40.6253268,-73.9615132,1,11230,OK,street_address
81,RANGE_INTERPOLATED,"277 E Kingsbridge Rd, Bronx, NY 10458, USA",EioyNzcgRSBLaW5nc2JyaWRnZSBSZCwgQnJvbngsIE5ZIDEwNDU4LCBVU0E,"277 EAST KINGSBRIDGE ROAD BRONX, NY 10458",40.8635177,-73.89398539999999,1,10458,OK,street_address
82,RANGE_INTERPOLATED,"277 E Kingsbridge Rd, Bronx, NY 10458, USA",EioyNzcgRSBLaW5nc2JyaWRnZSBSZCwgQnJvbngsIE5ZIDEwNDU4LCBVU0E,"277 EAST KINGSBRIDGE ROAD BRONX, NY 10458",40.8635177,-73.89398539999999,1,10458,OK,street_address
83,ROOFTOP,"203 Giffords Ln, Staten Island, NY 10308, USA",ChIJw7USs75LwokRGXj0z_xmQe0,"203 GIFFORDS LANE STATEN ISLAND, NY 10308",40.5564002,-74.1523675,1,10308,OK,premise
84,ROOFTOP,"203 Giffords Ln, Staten Island, NY 10308, USA",ChIJw7USs75LwokRGXj0z_xmQe0,"203 GIFFORDS LANE STATEN ISLAND, NY 10308",40.5564002,-74.1523675,1,10308,OK,premise
85,ROOFTOP,"203 Giffords Ln, Staten Island, NY 10308, USA",ChIJw7USs75LwokRGXj0z_xmQe0,"203 GIFFORDS LANE STATEN ISLAND, NY 10308",40.5564002,-74.1523675,1,10308,OK,premise
86,ROOFTOP,"10004 4th Ave, Brooklyn, NY 11209, USA",ChIJSb2uOIZPwokRem4BPTE2Fww,"10004 4 AVENUE BROOKLYN, NY 11209",40.612721,-74.0340256,1,11209,OK,premise
87,ROOFTOP,"10004 4th Ave, Brooklyn, NY 11209, USA",ChIJSb2uOIZPwokRem4BPTE2Fww,"10004 4 AVENUE BROOKLYN, NY 11209",40.612721,-74.0340256,1,11209,OK,premise
88,ROOFTOP,"178 Broadway, Brooklyn, NY 11211, USA",ChIJC5KU-N5bwokR_UIo-yF788A,"178 BROADWAY BROOKLYN, NY 11211",40.7098242,-73.9625662,1,11211,OK,premise
89,ROOFTOP,"178 Broadway, Brooklyn, NY 11211, USA",ChIJC5KU-N5bwokR_UIo-yF788A,"178 BROADWAY BROOKLYN, NY 11211",40.7098242,-73.9625662,1,11211,OK,premise
90,ROOFTOP,"1 E 60th St, New York, NY 10022, USA",ChIJ641ZIvBYwokRNW8rp-R2b4M,"1 EAST   60 STREET MANHATTAN, NY 10022",40.764873,-73.97190499999999,1,10022,OK,street_address
